Country,Year,ISO Country Code,Population,Gross Domestic Product,Cement CO2 Emissions,CO2 Emissions,CO2 Including Land Use Change,Coal CO2 Emissions,Consumption CO2,Flaring CO2 Emissions,Gas CO2 Emissions,Land Use Change CO2,Methane,Nitrous Oxide,Oil CO2 Emissions,Other Industry CO2,Primary Energy Consumption,Temperature Change From Methane,Temperature Change From CO2,Temperature Change From Greenhouse Gas,Temperature Change From Nitrous Oxide,Total Greenhouse Gas,Total Greenhouse Gas Excluding Land Use Change,Trade CO2,Continent,UN Region,Income Group
Afghanistan,1919,AFG,9976355.0,4121187162.0811977,0.0,0.0,7.501981337126597,0.0,0.0,0.0,0.0,6.661,5.34,0.568,0.0,0.0,1.5633243007278048,0.0,0.0,0.0,0.0,14.055,0.97,0.0,Asia,Southern Asia,Low Income
Afghanistan,1920,AFG,10188845.0,4215791417.486339,0.0,0.0,7.509533257467991,0.0,0.0,0.0,0.0,6.537,5.332,0.576,0.0,0.0,1.6056872155482782,0.0,0.0,0.0,0.0,13.858,0.968,0.0,Asia,Southern Asia,Low Income
Afghanistan,1921,AFG,10162753.0,4312567368.761846,0.0,0.0,7.517085177809387,0.0,0.0,0.0,0.0,6.465,5.391,0.59,0.0,0.0,1.649198079358767,0.0,0.0,0.0,0.0,13.908,0.978,0.0,Asia,Southern Asia,Low Income
Afghanistan,1922,AFG,9893152.0,4411564868.453252,0.0,0.0,7.52463709815078,0.0,0.0,0.0,0.0,6.423,5.451,0.616,0.0,0.0,1.693887999246431,0.0,0.0,0.0,0.0,13.99,0.988,0.0,Asia,Southern Asia,Low Income
Afghanistan,1923,AFG,9374030.0,4512834913.500386,0.0,0.0,7.532189018492174,0.0,0.0,0.0,0.0,6.396,5.511,0.65,0.0,0.0,1.7397889252373415,0.0,0.0,0.0,0.0,14.022,0.998,0.0,Asia,Southern Asia,Low Income
Afghanistan,1924,AFG,8882148.0,4616429671.507584,0.0,0.0,7.539740938833567,0.0,0.0,0.0,0.0,6.379,5.571,0.69,0.0,0.0,1.7869336731384011,0.0,0.0,0.0,0.0,14.127,1.008,0.0,Asia,Southern Asia,Low Income
Afghanistan,1925,AFG,8416077.0,4722402507.616965,0.0,0.0,7.547292859174963,0.0,0.0,0.0,0.0,6.367,5.631,0.736,0.0,0.0,1.8353559479982984,0.0,0.0,0.0,0.0,14.197,1.019,0.0,Asia,Southern Asia,Low Income
Afghanistan,1926,AFG,7974462.0,4830808011.998589,0.0,0.0,7.5548447795163565,0.0,0.0,0.0,0.0,6.359,5.691,0.783,0.0,0.0,1.8850903682040767,0.0,0.0,0.0,0.0,14.292,1.029,0.0,Asia,Southern Asia,Low Income
Afghanistan,1927,AFG,7556019.0,4941702027.97181,0.0,0.0,7.56239669985775,0.0,0.0,0.0,0.0,6.352,5.751,0.831,0.0,0.0,1.9361724902308028,0.0,0.0,0.0,0.0,14.382,1.039,0.0,Asia,Southern Asia,Low Income
Afghanistan,1928,AFG,7159534.0,5055141680.771857,0.0,0.0,7.569948620199144,0.0,0.0,0.0,0.0,6.347,5.811,0.877,0.0,0.0,1.9886388340618344,0.0,0.0,0.0,0.0,14.464,1.049,0.0,Asia,Southern Asia,Low Income
Afghanistan,1929,AFG,6851115.0,5171185406.977091,0.0,0.0,7.577500540540537,0.0,0.0,0.0,0.0,6.343,5.871,0.919,0.0,0.0,2.042526909297937,0.0,0.0,0.0,0.0,14.603,1.06,0.0,Asia,Southern Asia,Low Income
